"","Restaurant_Name","id","quote","value_rating","rating","date","review","count","things","Noofcontribution","Noofusefulvotes"
"1","Favela Tour","rn571574285","An ‘OK’ tour",NA,2,NA,"I thought the tour was average. Visited Rochina after learning some facts (shared by the tour guide) on the flavela itself and how it operates as well as some background and history. Once we arrived we stopped off to visit local artists where their work...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","114","54"
"2","Favela Tour","rn567648182","Very good tour and thought provoking",NA,5,NA,"Firstly, all communication with Marcelo that I had was prompt and efficient. The tour provided a return transfer from my hotel and arrived exactly on time (no mean feat considering the traffic conditions) We soon arrived at the 1st favela Rocinha which I knew had...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","73","39"
"3","Favela Tour","rn567348119","Favela tour run by Marcelo Armstrong",NA,5,NA,"There are two things you HAVE to do in Rio: go up the mountain to see the Christ the Redeemer statue up close AND do the Favela Tour run by Marcelo Armstrong. We travel the world constantly and the Favela Tour was an amazing and...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","3","4"
"4","Favela Tour","rn560612733","Outstanding",NA,5,NA,"I was on the Marcelo Armstrong tour and I learnt more about Rio and Brazil in 3 hours than I had in the previous week. Fascinating insight that is highly recommended.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","9","5"
"5","Favela Tour","rn558645782","Agressive Marcelo",NA,1,NA,"First off all, i never wrote a single review (either positive of negative) after 13 months of traveling. This happend after the first time I wrote one:
I was not happy about my conversation with Marcelo on whatsapp and I decided to share this experience...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","1","6"
"6","Favela Tour","rn558259868","Favelaturrio with Paulo Amendoim",NA,5,NA,"Experienced the Favelatourrio.com from Paulo Amendoim (Peanut Paul) former president of the residents association of Rocinha. We found his contact details in the Lonely Planet book. He was absolutely lovely. As someone who has lived in Rocinha most of his life, he is very knowledgeable...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","2","3"
"7","Favela Tour","rn554464366","An unbelievable experience",NA,5,NA,"Marina and Claudio did an excellent job!
Our day trip to Rocinha and Vila Canoas was incredible. I was initially nervous, but Marina quickly showed us that while, yes, drug traffickers live in the favelas, the majority of the population are kind, hardworking people. There's...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","3","3"
"8","Favela Tour","rn552553203","Fascinating ride and walk through Rocinha",NA,4,NA,"With Favelatourrio from Paulo Amendoim, former president of the residents association of Rocinha, we booked a tour. Easy just by whatsapp, no vouchers, prepaid garanties necessary. Our guide Bruna Alvez waited outside the São Conrado Metro Station for us and 4 other tourists. We raced...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","258","24"
"9","Favela Tour","rn545928409","Insightfull",NA,5,NA,"This tour exceeded my expectations. At first I thought it might be disrespectful to go into these neighbourhoods and 'observe' as if you are in a zoo, (i did not plan this tour myself, and wouldn't have done it myself). But it was a very...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","32","8"
"10","Favela Tour","rn544672009","Tourist shot dead on guided tour in Rocinha favela in October",NA,1,NA,"Three tourists shot dead in favelas in last 11 months. Police, hotel security and honourable your guides telling us not to go to Rocinha. Trip advisor. Viator not so honourable and will happily take your money with no warning of significant dangers. Be warned. We...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","35","25"
