line,review
1,I thought the tour was average. Visited Rochina after learning some facts (shared by the tour guide) on the flavela itself and how it operates as well as some background and history. Once we arrived we stopped off to visit local artists where their work...More
2,"Firstly, all communication with Marcelo that I had was prompt and efficient. The tour provided a return transfer from my hotel and arrived exactly on time (no mean feat considering the traffic conditions) We soon arrived at the 1st favela Rocinha which I knew had...More"
3,There are two things you HAVE to do in Rio: go up the mountain to see the Christ the Redeemer statue up close AND do the Favela Tour run by Marcelo Armstrong. We travel the world constantly and the Favela Tour was an amazing and...More
4,I was on the Marcelo Armstrong tour and I learnt more about Rio and Brazil in 3 hours than I had in the previous week. Fascinating insight that is highly recommended.
5,"First off all, i never wrote a single review (either positive of negative) after 13 months of traveling. This happend after the first time I wrote one:
I was not happy about my conversation with Marcelo on whatsapp and I decided to share this experience...More"
6,"Experienced the Favelatourrio.com from Paulo Amendoim (Peanut Paul) former president of the residents association of Rocinha. We found his contact details in the Lonely Planet book. He was absolutely lovely. As someone who has lived in Rocinha most of his life, he is very knowledgeable...More"
7,"Marina and Claudio did an excellent job!
Our day trip to Rocinha and Vila Canoas was incredible. I was initially nervous, but Marina quickly showed us that while, yes, drug traffickers live in the favelas, the majority of the population are kind, hardworking people. There's...More"
8,"With Favelatourrio from Paulo Amendoim, former president of the residents association of Rocinha, we booked a tour. Easy just by whatsapp, no vouchers, prepaid garanties necessary. Our guide Bruna Alvez waited outside the São Conrado Metro Station for us and 4 other tourists. We raced...More"
9,"This tour exceeded my expectations. At first I thought it might be disrespectful to go into these neighbourhoods and 'observe' as if you are in a zoo, (i did not plan this tour myself, and wouldn't have done it myself). But it was a very...More"
10,"Three tourists shot dead in favelas in last 11 months. Police, hotel security and honourable your guides telling us not to go to Rocinha. Trip advisor. Viator not so honourable and will happily take your money with no warning of significant dangers. Be warned. We...More"
11,"Through urban adventures,arranged the tour. Met by an incredible guide Jesse,full of knowledge and enthusiasm. My wife and I spent over 4 Hours on the trip. Met a few residents who were welcoming and answered questions. If you want a guide for any tour in...More"
12,I really recommend this visite to see and most of all to understand this other aspect from Rio. You learn a lot about the social and economic problems which leads to the growing of favelas. It was really interesting to see how a community can...More
13,"We needed to fill in half a day before flying home on the same afternoon.
We went by jeep from our hotel on Copacabana beach.
The guide is extremely well known and takes you to the very different , buzzing Favela in Rocinha. We ended...More"
14,"Really nice to see the both sides of Rio.
Was something to see and never forget.
If you want to see the poor side and compare with the Rich side, do the tour."
15,Just like christ the redeemer I think if you go to rio you have to go to favela just to see how the locals live. It's just like any place with alot of people working everyday. Yes it is dangerous but I'd you're with a...More
16,"If you like to a true experience of the people living a less privileged live go to a Favela. I'd like to recommend a tour (you can also find bar, guesthouse and other experiences, but be careful) like with our guide Marina. Favela people are...More"
17,"This tour offers something different and we are glad we saw this side of Rio. It was nice to see that the Guide and Driver are welcomed by the locals. While it felt a little forced to tour the school, it is admirable that the...More"
18,This trip was such great value approx £30 - we toured two favelas and there was plenty of time to ask questions from the guide who was incredibly knowledgable- there are opportunities to contribute to the economy through purchasing souvenirs or beverages. I felt very...More
19,#NAME?
20,"We did the tour with ""Favela Tour"" started by Marcelo Armstrong in 1992. It was safe and the guide, Alberto, was nice and experienced. They support a school in Rocinha which is a good reason to do a tour with them. There was also another...More"
21,"I can highly recommend the Favels tour, I did mine with ExoticTours, which offer tours in different languages, everything with a local guide and transfer if necessary.
We started the tour by taking a local bus with our guide, which brought us to the top...More"
22,"Pick up from hotel, and drop off there. 2 communities visited. A few stops on the way. Do it on a SUNDAY if you can: there is a nice food market in Rocinha."
23,I initially had reservations about going on the roscina favela tour due to safety concerns. I'm so glad I visited. Our guide and driver took us to the top of the favela in a jeep. There were 5 of us in the group- different nationalities...More
24,"I took this tour with my boyfriend on June 15th and really enjoyed it. Our guide Alberto was great. I'll admit at the beginning of the tour, I was a little weary of what we had signed up for, but at the end it was...More"
25,I was initially not going to take this tour from hearing what others said about it being dangerous. A couple went and highly recommended us to go check it out. I am so glad we did! This was eye opening for us to really see...More
26,"I admit, I found this much better than I expected it would be. I was apprehensive, because I did not want to be the ""rich gringo"" ogling the ""poor Latino"". But the tour did a good job of not making us feel this way.
Antonio,...More"
27,"I was initially wary about signing up for this tour, as I didn't want it to be voyeuristic but our guide explained it was set up by residents of Rochina to show how they live and a different side to Rio, and that some of...More"
28,This is a bit of a dangerous tour. A bus takes you to the top of the favela and then you walk to the bottom over the next couple of hours. The guide was very strict in saying that you have to keep your cameras...More
29,Very interesting to SEE how 20percent of the rio population lives. You are driven in an open keep to the top of the slum and then walk through the narrow passage ways.
