Restaurant_Name,id,quote,value_rating,rating,date,review,count,things,Noofcontribution,Noofusefulvotes
Favela Tour,rn574451778,BE CAREFUL!!!!!,NA,1,NA,"It was my second time on the tour, my first experience was very good. However during my time in Rio my credit card was scammed for a significant amount of money. After the bank investigated the time and date of the fraud, I realised that...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,1,1
Favela Tour,rn573556902,An insightful experience ,NA,4,NA,"We booked through TripAdvisor. The dates were incorrect but as soon as I whatsapp’d the contact details provided, they responded really quickly. We were picked up on time and our guide, Carlos, was extremely friendly and courteous. Not only is he knowledgeable, he speaks English...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,4,2
Favela Tour,rn571574285,An ‘OK’ tour,NA,2,NA,I thought the tour was average. Visited Rochina after learning some facts (shared by the tour guide) on the flavela itself and how it operates as well as some background and history. Once we arrived we stopped off to visit local artists where their work...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,115,55
Favela Tour,rn567648182,Very good tour and thought provoking,NA,5,NA,"Firstly, all communication with Marcelo that I had was prompt and efficient. The tour provided a return transfer from my hotel and arrived exactly on time (no mean feat considering the traffic conditions) We soon arrived at the 1st favela Rocinha which I knew had...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,81,41
Favela Tour,rn567348119,Favela tour run by Marcelo Armstrong,NA,5,NA,There are two things you HAVE to do in Rio: go up the mountain to see the Christ the Redeemer statue up close AND do the Favela Tour run by Marcelo Armstrong. We travel the world constantly and the Favela Tour was an amazing and...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,3,4
Favela Tour,rn560612733,Outstanding,NA,5,NA,I was on the Marcelo Armstrong tour and I learnt more about Rio and Brazil in 3 hours than I had in the previous week. Fascinating insight that is highly recommended.,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,9,5
Favela Tour,rn558645782,Agressive Marcelo,NA,1,NA,"First off all, i never wrote a single review (either positive of negative) after 13 months of traveling. This happend after the first time I wrote one:
I was not happy about my conversation with Marcelo on whatsapp and I decided to share this experience...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,1,6
Favela Tour,rn558259868,Favelaturrio with Paulo Amendoim,NA,5,NA,"Experienced the Favelatourrio.com from Paulo Amendoim (Peanut Paul) former president of the residents association of Rocinha. We found his contact details in the Lonely Planet book. He was absolutely lovely. As someone who has lived in Rocinha most of his life, he is very knowledgeable...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,2,3
Favela Tour,rn554464366,An unbelievable experience,NA,5,NA,"Marina and Claudio did an excellent job!
Our day trip to Rocinha and Vila Canoas was incredible. I was initially nervous, but Marina quickly showed us that while, yes, drug traffickers live in the favelas, the majority of the population are kind, hardworking people. There's...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,3,3
Favela Tour,rn552553203,Fascinating ride and walk through Rocinha,NA,4,NA,"With Favelatourrio from Paulo Amendoim, former president of the residents association of Rocinha, we booked a tour. Easy just by whatsapp, no vouchers, prepaid garanties necessary. Our guide Bruna Alvez waited outside the São Conrado Metro Station for us and 4 other tourists. We raced...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,284,25
Favela Tour,rn545928409,Insightfull,NA,5,NA,"This tour exceeded my expectations. At first I thought it might be disrespectful to go into these neighbourhoods and 'observe' as if you are in a zoo, (i did not plan this tour myself, and wouldn't have done it myself). But it was a very...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,32,8
Favela Tour,rn544672009,Tourist shot dead on guided tour in Rocinha favela in October,NA,1,NA,"Three tourists shot dead in favelas in last 11 months. Police, hotel security and honourable your guides telling us not to go to Rocinha. Trip advisor. Viator not so honourable and will happily take your money with no warning of significant dangers. Be warned. We...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,36,26
Favela Tour,rn542191469,Eye opener,NA,5,NA,"Through urban adventures,arranged the tour. Met by an incredible guide Jesse,full of knowledge and enthusiasm. My wife and I spent over 4 Hours on the trip. Met a few residents who were welcoming and answered questions. If you want a guide for any tour in...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,14,6
Favela Tour,rn535975837,Great Tour ,NA,5,NA,I really recommend this visite to see and most of all to understand this other aspect from Rio. You learn a lot about the social and economic problems which leads to the growing of favelas. It was really interesting to see how a community can...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,3,12
Favela Tour,rn532790260,The different side of Rio,NA,4,NA,"We needed to fill in half a day before flying home on the same afternoon.
We went by jeep from our hotel on Copacabana beach.
The guide is extremely well known and takes you to the very different , buzzing Favela in Rocinha. We ended...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,76,26
Favela Tour,rn532464328,Favela,NA,5,NA,"Really nice to see the both sides of Rio.
Was something to see and never forget.
If you want to see the poor side and compare with the Rich side, do the tour.",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,10,7
Favela Tour,rn528238926,Must do,NA,4,NA,Just like christ the redeemer I think if you go to rio you have to go to favela just to see how the locals live. It's just like any place with alot of people working everyday. Yes it is dangerous but I'd you're with a...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,167,51
Favela Tour,rn520438322,Another perspective of Rio de Janeiro ,NA,5,NA,"If you like to a true experience of the people living a less privileged live go to a Favela. I'd like to recommend a tour (you can also find bar, guesthouse and other experiences, but be careful) like with our guide Marina. Favela people are...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,13,3
Favela Tour,rn518490479,Interesting Tour - Worth Booking,NA,4,NA,"This tour offers something different and we are glad we saw this side of Rio. It was nice to see that the Guide and Driver are welcomed by the locals. While it felt a little forced to tour the school, it is admirable that the...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,20,15
Favela Tour,rn515318948,Informative- a grounding experience,NA,5,NA,This trip was such great value approx £30 - we toured two favelas and there was plenty of time to ask questions from the guide who was incredibly knowledgable- there are opportunities to contribute to the economy through purchasing souvenirs or beverages. I felt very...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,56,47
Favela Tour,rn512553459,not to miss!,NA,5,NA,#NAME?,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,40,12
Favela Tour,rn510909613,Interesting and worth doing,NA,5,NA,"We did the tour with ""Favela Tour"" started by Marcelo Armstrong in 1992. It was safe and the guide, Alberto, was nice and experienced. They support a school in Rocinha which is a good reason to do a tour with them. There was also another...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,82,49
Favela Tour,rn508808074,"very interesting, changes your mind!",NA,5,NA,"I can highly recommend the Favels tour, I did mine with ExoticTours, which offer tours in different languages, everything with a local guide and transfer if necessary.
We started the tour by taking a local bus with our guide, which brought us to the top...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,1,1
Favela Tour,rn508243772,Interesting and safe tour - you learn a lot,NA,4,NA,"Pick up from hotel, and drop off there. 2 communities visited. A few stops on the way. Do it on a SUNDAY if you can: there is a nice food market in Rocinha.",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,420,57
Favela Tour,rn508063060,An eye opener,NA,5,NA,I initially had reservations about going on the roscina favela tour due to safety concerns. I'm so glad I visited. Our guide and driver took us to the top of the favela in a jeep. There were 5 of us in the group- different nationalities...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,40,13
Favela Tour,rn500339063,Great tour,NA,5,NA,"I took this tour with my boyfriend on June 15th and really enjoyed it. Our guide Alberto was great. I'll admit at the beginning of the tour, I was a little weary of what we had signed up for, but at the end it was...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,3,1
Favela Tour,rn494985447,A Must See Tour!,NA,4,NA,I was initially not going to take this tour from hearing what others said about it being dangerous. A couple went and highly recommended us to go check it out. I am so glad we did! This was eye opening for us to really see...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,2,2
Favela Tour,rn492310266,My wife will give this a much better rating than I will,NA,3,NA,"I admit, I found this much better than I expected it would be. I was apprehensive, because I did not want to be the ""rich gringo"" ogling the ""poor Latino"". But the tour did a good job of not making us feel this way.
Antonio,...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,375,141
