,Restaurant_Name,id,quote,value_rating,rating,date,review,count,things,Noofcontribution,Noofusefulvotes,,,
1,Maracana,rn575908612,Nice place to visit,NA,5,NA,"Nice place to visit
One of the biggest stadium in the world
Easy to find and in a secure place
I recommend","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,49,18,,,
2,Maracana,rn575358211,Iconic football stadium,NA,5,NA,"My two boys wanted to go on a tour of the stadium, but were were lucky enough to be in Rio at the time of the Cup Final.!!
What a fantastic way to experience the Maracana!!!!
Easy to reach by the Metro.","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,103,72,,,
3,Maracana,rn573969543,Massive Stadium for soccer,NA,5,NA,"I was lucky to see finals there in April between Vosco Vs Botefogo
Imagine 64000 spectators in stadium.....","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,11,11,,,
4,Maracana,rn573833551,Absolutely amazing on match day!!,NA,5,NA,"Managed to see a local Rio cup final was an absolutely amazing atmosphere. Went as a couple and booked through the hotel - would definitely recommend this if going to a big match. There were 62,000 people and would have struggled to navigate this on...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,18,5,,,
5,Maracana,rn573600096,"Unless you’re a big soccer fan, watch it from the outside!",NA,2,NA,It’s ok. Just check it on your list by seeing it from the outside. There is very few things to see inside. These guys should learn from stadiums in Europe!,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,52,4,,,
6,Maracana,rn573442273,A shame!,NA,3,NA,My husband couldn't wait to visit Maracana. He was sooooo disappointed by the stadium!! They apparently invested alot into this Stadium and renovated it - does not look it one bit. There are basics missing from this stadium such as trophy cabinet. The tour cost...More,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,45,15,,,
7,Maracana,rn572759612,side trip to see,NA,4,NA,"when out and about you can take a side trip and stop by, its like 50.00 Reais for non guided tour or 60.00 Reais for guided tour","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,82,59,,,
8,Maracana,rn571628931,Awesome atmosphere!,NA,5,NA,There are special tours organised for tourists for this historic stadium and if you are a football fan than this place is a must visit place in Rio de Janeiro! We watched a local match and the atmosphere was absolutely awesome! The pick up and...More,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,229,66,,,
9,Maracana,rn570718440,nice stadium,NA,3,NA,It was nice to see where all the soccer magic that has mead Brazil the best happens. I am sure if we had enough time we would have enjoyed the inside tour if its available.,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,55,10,,,
10,Maracana,rn570401498,Wellcome football lovers,NA,4,NA,The most hirtorical football site of the world! The tour is adequate but nothing special. The spirit of the place captures you.,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,66,8,,,
11,Maracana,rn568089758,Not a football fan Dont bother,NA,2,NA,Even if you are not a big football fan you might know that this is a famous pitch. However if you're not a worshipper then this shrine to Brazilian superstars is a bit of a waste of time. A dull drab exterior gives no guide...More,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,35,1,,,4.068421053
12,Maracana,rn567944595,used to be a soccer stadium...,NA,2,NA,This place used to be a soccer stadium but today we have more rock shows over there than soccer matches unhappily. All the refurbishnement that they had done over there was very bad because today only allow 70.000 people and in the past this was...More,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,30,6,,,4.411764706
13,Maracana,rn567875681,The game is always better than a guide tour,NA,5,NA,"We really wanted to watch a game on the legendary Maracana stadium and we did it. The price for the game tickets is the same as for the tour, 50 reais (the guided tour is even more expensive). We bought tickets two days before the...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,12,8,,,
14,Maracana,rn566927088,palace of football,NA,5,NA,"absolute pleasure and a must visit of this famous stadium, a palace of the football greats of the past and especially pele the best of all time","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,6,1,,,
15,Maracana,rn566921372,Tour is expensive and very poor,NA,1,NA,"60R for a guided tour. Last 20 minutes including going through displays (non exisitant), the guide talking, stands and dressing rooms. Compared to other football ground tours it was like a small local club had created it.
If you are into football save your time...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,5,5,,,
16,Maracana,rn566636327,We went to see Fluminense play at the Maracana. Cheap seats R$50 that day.,NA,5,NA,We went to take pictures of the Maracana stadium. While we were there we saw that the stadium tour without a guide was R$50 and with a guide R$65. We would have liked to walk in to have a look inside but thought that was...More,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,317,68,,,
17,Maracana,rn566222869,A dream came true,NA,5,NA,"I wanted to visit this famous stadium for almost 40 years. Finally , my dream came true. A truly magnificent place. We went to watch a football match between local rivals which add more interest to the visit. Fodd and drink prices inside the stadium...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,268,130,,,
18,Maracana,rn566113036,Went to a quiet game on a Sunday night,NA,4,NA,"We went to a quiet game on a Sunday night. Great way to see the stadium, hardly anyone there and a good match!","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,19,20,,,
19,Maracana,rn564213179,Phil Collins show,NA,3,NA,"Went to Maracanã for PC's show (wonderful, btw).
The stadium was remodeled (almost rebuilt, except for its shape) for the World Cup , but it seems like there is no maintenance.
Chairs look old. Dirty. Restrooms smell bad.
Other than this, the metro is the...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,68,22,,,
20,Maracana,rn562945546,Concert foo fighters,NA,5,NA,"Went to the foo fighters concert.
You can go with the metro, it has its own station (Maracaná). Big entries and walkpaths. When you go inside, it's so big and beautiful , you feel really tiny.
Everything well cared of. Sittings in good condition.
It...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,43,7,,,
21,Maracana,rn562151056,Stadium tour,NA,2,NA,"The tour cost £33 for 2 adults and 1 child and lasted around 20mins. There is very little to see a few Flamengo artifacts fron the 1980’s, nothing Pele or Brazil national team. Even the small souvenir shop didn’t have a Brazil shirt! And the...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,59,16,,,
22,Maracana,rn561740322,Easy to get to using Metro,NA,5,NA,"Daily tours are worth in for soccer fans, I think it was $10.00. The gift shop has great stuff. The stadium is easily reached on Metro for $1.50. and 15 minutes ride from downtown or 30 min. ride from beaches.","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,20,5,,,
23,Maracana,rn560449274,A bit pants really...,NA,2,NA,"This is nothing like other high stadiums tours I’ve been on (e.g old Trafford, Wembley, Camp Nou, Bernabeu).
There’s no museum, no trophy cabinet, very limited displays, very little history/info on the Brazil national team. Even the press room is a fake small room.
You’re...More","All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,28,10,,,
24,Maracana,rn559808303,Never miss a football match!,NA,5,NA,How can anyone miss a football match in Maracana is beyond me. Definitely a must to watch a soccer match in Maracana. Be exhilarated by the crowds and cheers!,"All photos (4,882) ",#8 of 750 things to do in Rio de Janeiro,28,12,,,
