,Restaurant_Name,id,quote,value_rating,rating,date,review,count,things,Noofcontribution,Noofusefulvotes,,,
1,Corcovado Christ the Redeemer,rn5329348,A must-see when in Rio,NA,4,NA,"You cannot see anything about Rio without seeing a prominent picture of Corcovado. You can drive to the top, ride a train or trolley, or ride a bus. Must tourists will want to imitate the statue standing in the background while a colleague snaps a...More","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,212,214,,,
2,Corcovado Christ the Redeemer,rn4366487,Go see Jesus!,NA,5,NA,"Went up Corcovavdo in Rio in December 2005. It was magnificient! I am not one for those touristy activities in general, but this was definitely worth it. Take a cab to the train station that takes you to the top. Get in line ot buy...More","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,4,45,,,
3,Corcovado Christ the Redeemer,rn574714487,A highlight of Rio,NA,5,NA,"Every one should have a bucket list of iconic things to see around the world and this is one of them. Unfortunately for us, we were there during Easter Weekend and so the place was packed. But took the cog railway and the steps and...More","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,182,61,,,4.630705394
4,Corcovado Christ the Redeemer,rn574495182,Not worth it.,NA,1,NA,"Expensive only to go there to be squashed with another thousand people trying to take a photo of the Christ, to see a view that is nothing especial and even the Christ is nothing especial.
No worth going there, don’t waste your time.","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,10,7,,,
5,Corcovado Christ the Redeemer,rn574329714,Views for days,NA,5,NA,I enjoyed this day trip purchase tickets online before you arrive to safe time and go early. A private tour would also be a great idea,"All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,24,9,,,4.620571003
6,Corcovado Christ the Redeemer,rn574304137,A place to explore... ,NA,5,NA,"Christ the Redeemer is an Art Deco statue of Jesus Christ in Rio de Janeiro, Brazil, created by French sculptor Paul Landowski and built by the Brazilian engineer Heitor da Silva Costa, in collaboration with the French engineer Albert Caquot
To go to the top...More","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,25,25,,,
7,Corcovado Christ the Redeemer,rn574249588,"Even in the clouds, I was still amazed!",NA,5,NA,"Even if it is cloudy, GO DO IT!! We took the train, and that was nice. We waited for the clouds to move, which they constantly did, and we got incredible views of the statue. We could not see the city, but it was still...More","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,7,2,,,
8,Corcovado Christ the Redeemer,rn574021262,Stunning!,NA,5,NA,The most amazing views and wonderful train ride up the mountain. Worth every penny! Loved the little chapel that was located at the top.,"All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,19,31,,,10753
9,Corcovado Christ the Redeemer,rn573968392,WONDER place.......,NA,5,NA,"No doubt this is man made wonder place, excellent icon
A must see place for tourist who is travelling to Brazil
Preferred time when its not cloudy, one need to check & then go.
Its only 1 hour travel from city","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,11,11,,,
10,Corcovado Christ the Redeemer,rn573893168,Extraordinarily views ,NA,5,NA,A must visit in Rio. Views are dreamlike. One of the best places I have ever visited. We spend about 2 hours exploring at the top.,"All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,101,30,,,
11,Corcovado Christ the Redeemer,rn573846848,An amazing man made structure,NA,5,NA,This site is visible all over Rio. It is lit at night. You access the site by cable car which takes two different trips to get to the top. The views are spectacular and Christ the Redeemer has to be seen to be appreciated. Must...More,"All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,45,7,,,
12,Corcovado Christ the Redeemer,rn573844812,don't miss it,NA,5,NA,"This iconic statue is a must-see if you visit Rio. You take a cog railway to the top of the mountain where the monument is located. It’s a huge statue with arms outstretched and a compassionate, comforting expression. Lots of people, including us, posed for...More","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,532,196,,,
13,Corcovado Christ the Redeemer,rn573833101,A must see but very touristy,NA,4,NA,Excellent views and a must see in Rio. We took the van from largo do Machado which was R$61 and around 20mins which was easy and quick and a return ticket ( I think they run every 30 minutes) and then approx a further R$...More,"All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,18,5,,,
14,Corcovado Christ the Redeemer,rn573832587,Loved it!!,NA,5,NA,"A stunning statute this a great view, it is really famous and its very nice to see it so close. There are a great panoramic view from the mountain of rio","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,43,43,,,
15,Corcovado Christ the Redeemer,rn573821125,Wonderful,NA,5,NA,"If it's a clear day, it's spectacular! We went near the end of the day and it was not very crowded and we got great pictures! We really enjoyed it! This was my third time to see Christ the Redeemer - it's always a wonderful...More","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,3,3,,,
16,Corcovado Christ the Redeemer,rn573817494,The most important site to see,NA,5,NA,"This and the cable car to Sugarloaf can be seen in under 5 hours round trip car ride from hotel in Copacabana Beach. Amazing views of the city!
Bonus: there’s a small chapel under the statue.","All photos (24,848) ",#3 of 750 things to do in Rio de Janeiro,32,13,,,
